"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Ahmadābād","Ahmadabad","23.0300","72.5800","India","IN","IND","Gujarāt","minor","7410000","1356304381"
"Hong Kong","Hong Kong","22.3050","114.1850","Hong Kong","HK","HKG","","","7347000","1344982653"
"Khartoum","Khartoum","15.6031","32.5265","Sudan","SD","SDN","Khartoum","primary","7282000","1729268475"
"Nantong","Nantong","31.9829","120.8873","China","CN","CHN","Jiangsu","minor","7282835","1156045365"
"Yancheng","Yancheng","33.3936","120.1339","China","CN","CHN","Jiangsu","minor","7260240","1156995410"
"Foshan","Foshan","23.0292","113.1056","China","CN","CHN","Guangdong","minor","7194311","1156738403"
"Nanning","Nanning","22.8192","108.3150","China","CN","CHN","Guangxi","admin","7153300","1156605439"
"Hengyang","Hengyang","26.8968","112.5857","China","CN","CHN","Hunan","","7148344","1156696884"
"Xi'an","Xi'an","34.2667","108.9000","China","CN","CHN","Shaanxi","admin","7135000","1156244079"
"Shenyang","Shenyang","41.8039","123.4258","China","CN","CHN","Liaoning","admin","7105000","1156309382"
"Tangshan","Tangshan","39.6292","118.1742","China","CN","CHN","Hebei","","7100000","1156904299"
"Shaoyang","Shaoyang","27.2418","111.4725","China","CN","CHN","Hunan","","7071000","1156310366"
"Changsha","Changsha","28.1987","112.9709","China","CN","CHN","Hunan","admin","7044118","1156961497"
"Santiago","Santiago","-33.4500","-70.6667","Chile","CL","CHL","Región Metropolitana","primary","7007000","1152554349"
"Zhengzhou","Zhengzhou","34.7492","113.6605","China","CN","CHN","Henan","admin","7005000","1156183137"
"Zhanjiang","Zhanjiang","21.1967","110.4031","China","CN","CHN","Guangdong","minor","6900000","1156502170"
"Riyadh","Riyadh","24.6500","46.7100","Saudi Arabia","SA","SAU","Ar Riyāḑ","primary","6881000","1682999334"
"Cangzhou","Cangzhou","38.3037","116.8452","China","CN","CHN","Hebei","","6800000","1156698069"
"Dar es Salaam","Dar es Salaam","-6.8000","39.2833","Tanzania","TZ","TZA","Dar es Salaam","primary","6698000","1834843853"
"Maoming","Maoming","21.6618","110.9178","China","CN","CHN","Guangdong","minor","6706000","1156568722"
"Huanggang","Huanggang","30.4500","114.8750","China","CN","CHN","Hubei","minor","6667000","1156200037"
"Xinyang","Xinyang","32.1264","114.0672","China","CN","CHN","Henan","","6634000","1156273453"
"Shangrao","Shangrao","28.4419","117.9633","China","CN","CHN","Jiangxi","minor","6579714","1156405492"
"Luoyang","Luoyang","34.6587","112.4245","China","CN","CHN","Henan","","6549941","1156069315"
"Bijie","Bijie","27.3019","105.2863","China","CN","CHN","Guizhou","","6537498","1156018927"
"Yantai","Yantai","37.3997","121.2664","China","CN","CHN","Shandong","","6516900","1156932948"
"Quanzhou","Quanzhou","24.9139","118.5858","China","CN","CHN","Fujian","minor","6480000","1156829655"
"Hangzhou","Hangzhou","30.2500","120.1675","China","CN","CHN","Zhejiang","admin","6446000","1156275243"
"Miami","Miami","25.7839","-80.2102","United States","US","USA","Florida","","6445545","1840015149"
"Kunming","Kunming","25.0433","102.7061","China","CN","CHN","Yunnan","admin","6250000","1156477539"
"Nanchong","Nanchong","30.7991","106.0784","China","CN","CHN","Sichuan","minor","6183000","1156762337"
"Zunyi","Zunyi","27.7050","106.9336","China","CN","CHN","Guizhou","","6127009","1156539782"
"Lu'an","Lu'an","31.7542","116.5078","China","CN","CHN","Anhui","minor","6090000","1156499624"
"Yichun","Yichun","27.8041","114.3830","China","CN","CHN","Jiangxi","minor","6048700","1156229590"
